Rk,Player,Pos,CrdY
827,Alex Sandro,DFMF,0
828,Leroy Sané,MF,0
829,Ibrahim Sangaré,MF,0
830,Kaishū Sano,MF,1
831,Danilo Santos,MF,0
832,Douglas Santos,DF,1
833,Bara Sapoko Ndiaye,MF,0
834,Ismaila Sarr,MFFW,0
835,Farrukh Sayfiev,DFMF,0
836,Amine Sbai,FWMF,0
837,Joe Scally,DF,0
838,Patrik Schick,FW,0
839,Andreas Schjelderup,FW,0
840,Alexander Schlager,GK,0
841,Xaver Schlager,MF,0
842,Nico Schlotterbeck,DF,0
843,Romano Schmid,MFFW,0
844,Kamogelo Sebelebele,DFMF,0
845,Abdoulaye Seck,DF,1
846,Alidu Seidu,DF,1
847,Nicolas Seiwald,MF,0
848,Ayumu Seko,DF,0
849,Egil Selvik,GK,0
850,Ken Sema,FWMF,0
851,Nélson Semedo,DFMF,1
852,Willy Semedo,FW,0
853,Antoine Semenyo,MFFW,0
854,Marvin Senaya,DF,0
855,Marcos Senesi,DF,0
856,Igor Sergeev,FW,0
857,Jean Seri,MF,0
858,Kim Seung-gyu,GK,0
859,Paik Seung-ho,MF,1
860,Joaquin Seys,DF,0
861,Jacob Shaffelburg,MF,0
862,Mohammed Abu Al-Shamat,MF,0
863,Lawrence Shankland,FW,0
864,Sharara,FW,1
865,Aimar Sher,MF,0
866,Kento Shiogai,FW,0
867,Mostafa Shobeir,GK,1
868,Eldor Shomurodov,FW,0
869,Otabek Shukurov,MF,0
870,Nkosinathi Sibisi,DF,1
871,Kwasi Sibo,MF,0
872,Niko Sigur,MF,1
873,Bernardo Silva,MF,2
874,Éderson Silva,MF,0
875,Giuliano Simeone,FW,0
876,Dominique Simon,MF,0
877,Unai Simón,GK,0
878,Sarpreet Singh,MF,1
879,Wilfried Singo,DF,0
880,Sphephelo Sithole,MF,0
881,Ellyes Skhiri,MFDF,0
882,Alexandr Sojka,MFDF,0
883,Ramón Sosa,FWMF,0
884,Tomáš Souček,MF,0
885,Harry Souttar,DF,1
886,Djibril Sow,MF,0
887,Çağlar Söyüncü,DF,0
888,Djed Spence,DF,0
889,Marko Stamenic,MF,1
890,Josip Stanišić,DFMF,0
891,Carl Starfelt,DF,0
892,Ross Stewart,FW,0
893,Angelo Stiller,MF,0
894,John Stones,DF,0
895,Jørgen Strand Larsen,FW,0
896,Elliot Stroud,MF,0
897,Luis Suárez,FW,1
898,Luka Sučić,FWMF,0
899,Petar Sučić,MFFW,1
900,Yukinari Sugawara,MF,0
901,Rebin Sulaka,DF,0
902,Pavel Šulc,FW,0
903,Kamaldeen Sulemana,MFFW,0
904,Crysencio Summerville,FW,1
905,Ivan Šunjić,MF,0
906,Finn Surman,DF,0
907,Josip Šutalo,DF,0
908,Junnosuke Suzuki,DF,1
909,Yuito Suzuki,FWMF,0
910,Zion Suzuki,GK,0
911,Mattias Svanberg,MF,0
912,Daniel Svensson,DF,0
913,Alexander Sørloth,FW,0
914,Musa Al-Taamari,FW,0
915,Haris Tabaković,FW,0
916,Lee Tae-seok,MF,0
917,Nicolás Tagliafico,DF,0
918,Jonathan Tah,DF,0
919,Benjamin Tahirovic,MF,0
920,Zaid Tahseen,DF,1
921,Chemsdine Talbi,MF,0
922,Montassar Talbi,DF,0
923,Hassan Al Tambakti,DF,0
924,Ao Tanaka,MF,0
925,Shogo Taniguchi,DF,1
926,Mehdi Taremi,FW,0
927,Aurélien Tchouaméni,MF,1
928,Arthur Theate,DF,0
929,Igor Thiago,FW,0
930,Malick Thiaw,DFMF,0
931,Ryan Thomas,MF,0
932,Brandon Thomas-Asante,FWMF,0
933,Morten Thorsby,MF,0
934,Kristian Thorstvedt,MF,0
935,Marcus Thuram,FWMF,0
936,Youri Tielemans,MF,0
937,Kieran Tierney,MF,0
938,Guus Til,FWMF,0
939,Malik Tillman,MF,1
940,Quinten Timber,MF,0
941,Takehiro Tomiyasu,DF,0
942,Ivan Toney,FW,0
943,Mehdi Torabi,MF,0
944,Félix Torres Caicedo,DF,0
945,Ferran Torres,FW,1
946,Sebastian Tounekti,FW,0
947,Bazoumana Touré,MF,0
948,Mo Touré,FW,0
949,Kai Trewin,DFMF,0
950,Trézéguet,MF,0
951,Francisco Trincão,FWMF,0
952,Leandro Trossard,MFFW,0
953,Auston Trusty,DF,0
954,Axel Tuanzebe,DF,0
955,Matt Turner,GK,0
956,Ayase Ueda,FW,0
957,Manuel Ugarte,MF,0
958,Deniz Undav,FW,0
959,Dayot Upamecano,DF,0
960,Jakhongir Urozov,DF,0
961,Oston Urunov,MF,0
962,Can Uzun,MF,0
963,Enner Valencia,FW,0
964,Yan Valery,DF,0
965,Federico Valverde,MF,0
966,Virgil van Dijk,DF,0
967,Hans Vanaken,MF,0
968,Guillermo Varela,DF,1
969,Hélio Varela,FW,0
970,Camilo Vargas,GK,0
971,Obed Vargas,MF,0
972,Ruben Vargas,MF,0
973,Nikola Vasilj,GK,0
974,Johan Vásquez,DF,1
975,Alexis Vega,FWMF,0
976,Renato Veiga,DF,2
977,Gustavo Velásquez,DF,0
978,Nishan Velupillay,MF,0
979,Micky van de Ven,DFMF,1
980,Bart Verbruggen,GK,0
981,Matías Viña,DF,0
982,Federico Viñas,FW,0
983,Denis Višinský,FW,0
984,Pedro Vite,MF,0
985,Vitinha,MF,0
986,Nikola Vlašić,MF,0
987,Cristian Volpato,MF,0
988,Vozinha,GK,0
989,Francis de Vries,DF,0
990,Luka Vušković,DF,0
991,Elye Wahi,FW,0
992,Aaron Wan-Bissaka,DF,0
993,Paul Wanner,MF,0
994,Tsuyoshi Watanabe,DF,0
995,Cecilio Waterman,FW,0
996,Ollie Watkins,FWMF,0
997,Timothy Weah,MF,0
998,Wout Weghorst,FW,0
999,Jacob Widell Zetterström,GK,0
1000,Silvan Widmer,DF,0
1001,Iñaki Williams,MFFW,1
1002,Nico Williams,MF,0
1003,Ronwen Williams,GK,0
1004,Patrick Wimmer,FWMF,0
1005,Florian Wirtz,MF,0
1006,Yoane Wissa,FW,0
1007,Axel Witsel,DFMF,1
1008,Nick Woltemade,FWMF,0
1009,Chris Wood,FW,0
1010,Haji Wright,FWMF,0
1011,Granit Xhaka,MF,2
1012,Kevin Yakob,MF,0
1013,Lamine Yamal,MFFW,0
1014,Yannick,MF,0
1015,Gessime Yassine,MF,0
1016,John Yeboah,MF,0
1017,Tete Yengi,FW,0
1018,Kenan Yıldız,MF,0
1019,Caleb Yirenkyi,MF,2
1020,Seol Young-woo,MF,0
1021,Manaf Younis,DF,0
1022,Aria Yousefi,MF,0
1023,Ali Yousif,FW,0
1024,İsmail Yüksek,MF,0
1025,Utkir Yusupov,GK,0
1026,Warren Zaïre-Emery,MF,0
1027,Denis Zakaria,DF,2
1028,Jaroslav Zelený,MF,0
1029,Alejandro Zendejas,FWMF,0
1030,Besfort Zeneli,MF,0
1031,Ramiz Zerrouki,MF,1
1032,Luca Zidane,GK,0
1033,Mostafa Ziko,FWMF,0
1034,David Zima,DF,0
1035,Zizo,MF,0
1036,Martín Zubimendi,MF,0
1037,Themba Zwane,FWMF,0
1038,Martin Ødegaard,MF,0
1039,Leo Østigård,DF,0
